[[3, 0, 0, 0], [4, 2, 0, 2], [4, 2, 0, 2], [3, 0, 1, 3]]
         431909 function calls (431762 primitive calls) in 0.230 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2704    0.004    0.000    0.007    0.000 z3core.py:2781(Z3_is_eq_ast)
     4464    0.006    0.000    0.011    0.000 z3core.py:2796(Z3_get_sort)
      432    0.001    0.000    0.001    0.000 z3core.py:2811(Z3_get_ast_kind)
       16    0.000    0.000    0.000    0.000 z3core.py:2821(Z3_is_numeral_ast)
       16    0.000    0.000    0.000    0.000 z3core.py:2841(Z3_get_numeral_string)
        1    0.000    0.000    0.000    0.000 z3core.py:3056(Z3_model_inc_ref)
        1    0.000    0.000    0.000    0.000 z3core.py:3060(Z3_model_dec_ref)
       16    0.000    0.000    0.000    0.000 z3core.py:3064(Z3_model_eval)
        1    0.000    0.000    0.000    0.000 z3core.py:3215(Z3_set_ast_print_mode)
        1    0.000    0.000    0.000    0.000 z3core.py:3675(Z3_mk_solver)
        1    0.000    0.000    0.000    0.000 z3core.py:3723(Z3_solver_inc_ref)
        1    0.001    0.001    0.001    0.001 z3core.py:3727(Z3_solver_dec_ref)
       64    0.008    0.000    0.008    0.000 z3core.py:3752(Z3_solver_assert)
        1    0.015    0.015    0.015    0.015 z3core.py:3806(Z3_solver_check_assumptions)
        1    0.000    0.000    0.000    0.000 z3core.py:3826(Z3_solver_get_model)
      912    0.001    0.000    0.001    0.000 z3core.py:69(_str_to_bytes)
       16    0.000    0.000    0.000    0.000 z3core.py:83(_to_pystr)
       16    0.000    0.000    0.001    0.000 z3printer.py:1000(pp_expr)
      5/1    0.000    0.000    0.001    0.001 z3printer.py:1089(pp_list)
     21/1    0.000    0.000    0.001    0.001 z3printer.py:1106(main)
        1    0.000    0.000    0.001    0.001 z3printer.py:1132(__call__)
        1    0.000    0.000    0.002    0.002 z3printer.py:1236(obj_to_string)
        1    0.000    0.000    0.000    0.000 z3printer.py:1271(in_html_mode)
        1    0.000    0.000    0.002    0.002 z3printer.py:1280(print_matrix)
